[2016-04-25T10:11:04+03:00] INFO: Forking chef instance to converge...
[2016-04-25T10:11:04+03:00] INFO: *** Chef 12.9.38 ***
[2016-04-25T10:11:04+03:00] INFO: Platform: x86_64-linux
[2016-04-25T10:11:04+03:00] INFO: Chef-client pid: 3703
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/help-projectConfig.html in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/META-INF/maven/org.jenkins-ci.plugins/translation/pom.properties in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/dialog.js in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/WEB-INF/licenses.xml in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/.timestamp2 in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/WEB-INF/lib/classes.jar in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/pipe.js in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/play.png in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/pipe-fullscreen.css in the cache.
[2016-04-25T10:11:26+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/META-INF/maven/se.diabol.jenkins.pipeline/delivery-pipeline-plugin/pom.properties in the cache.
[2016-04-25T10:11:26+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/pipeline.css in the cache.
[2016-04-25T10:11:26+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/script-security.jpi in the cache.
[2016-04-25T10:11:26+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/META-INF/maven/se.diabol.jenkins.pipeline/delivery-pipeline-plugin/pom.xml in the cache.
[2016-04-25T10:11:26+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/pipeline-common.css in the cache.
[2016-04-25T10:11:26+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/WEB-INF/licenses.xml in the cache.
[2016-04-25T10:11:26+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/refresh.png in the cache.
[2016-04-25T10:11:27+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/WEB-INF/lib/jcip-annotations-1.0.jar in the cache.
[2016-04-25T10:11:27+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/WEB-INF/lib/findbugs-annotations-1.3.9-1.jar in the cache.
[2016-04-25T10:11:27+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin/dark-load.gif in the cache.
